1041,瑞舒伐他汀钙片,220,38.50,B041,2027-01-15,2026-02-10 08:00:00,无
1042,氯吡格雷片,330,25.00,B042,2026-11-20,2026-02-11 08:00:00,无
1043,银杏叶滴丸,440,30.00,B043,2025-08-10,2026-02-12 08:00:00,无
1044,稳心颗粒,550,45.00,B044,2027-09-05,2026-02-13 08:00:00,无
1045,蒲地蓝消炎口服液,660,28.50,B045,2026-04-22,2026-02-14 08:00:00,无
1046,双黄连口服液,770,19.00,B046,2025-10-18,2026-02-15 08:00:00,无
1047,板蓝根颗粒,880,15.00,B047,2027-03-30,2026-02-16 08:00:00,无
1048,维生素E片,990,6.50,B048,2026-12-12,2026-02-17 08:00:00,无
1049,谷维素片,100,12.00,B049,2025-07-25,2026-02-18 08:00:00,无
1050,复合氨基酸胶囊,210,18.00,B050,2027-05-14,2026-02-19 08:00:00,无
1051,诺氟沙星胶囊,320,14.50,B051,2026-02-28,2026-02-20 08:00:00,无
1052,氧氟沙星胶囊,430,16.00,B052,2025-11-09,2026-02-21 08:00:00,无
1053,左氧氟沙星片,540,22.00,B053,2027-08-03,2026-02-22 08:00:00,无
1054,环丙沙星片,650,19.50,B054,2026-06-17,2026-02-23 08:00:00,无
1055,克林霉素软膏,760,17.50,B055,2025-09-21,2026-02-24 08:00:00,无
1056,酮康唑乳膏,870,21.00,B056,2027-04-06,2026-02-25 08:00:00,无
1057,达克宁软膏,980,25.50,B057,2026-01-11,2026-02-26 08:00:00,无
1058,皮炎平软膏,120,15.00,B058,2025-12-29,2026-02-27 08:00:00,无
1059,艾司唑仑片,230,9.00,B059,2027-10-24,2026-02-28 08:00:00,无
1060,氯硝西泮片,340,11.50,B060,2026-07-08,2026-03-01 08:00:00,无
1061,地西泮片,450,8.50,B061,2025-05-19,2026-03-02 08:00:00,无
1062,佐匹克隆片,560,13.00,B062,2027-02-02,2026-03-03 08:00:00,无
1063,阿普唑仑片,670,10.00,B063,2026-11-26,2026-03-04 08:00:00,无
1064,氟西汀片,780,14.00,B064,2025-08-14,2026-03-05 08:00:00,无
1065,帕罗西汀胶囊,890,35.00,B065,2027-06-09,2026-03-06 08:00:00,无
